gene_names,protein_name.x,chr.x,start.x,end.x,pg_adsp,pg_ukb_igap,pg_ukb_eadb,pg_ukb_proxy,adsp_size.x,ukb_size.x,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_r2,stage1_X2_f2,num_snps,num_effect_snps,adsp_size.y,ukb_size.y,gene_ind,uniprot_id,protein_name.y,chr.y,start.y,end.y
CD200,OX-2 membrane glycoprotein,3,112051194,112081659,0.563501624707569,0.658864974492299,0.617962110545985,0.940454057973437,10454,312713,0.206121214225408,100,100,0.484140507278501,100,100,0.0342587735074965,1.32872899009471e-05,1479,143,10454,312713,185,P41217,OX-2 membrane glycoprotein,3,112051194,112081659
CD200R1,Cell surface glycoprotein CD200 receptor 1,3,112640056,112693969,0.309221632065193,0.368520546154606,0.827366252454944,0.41709358677067,10454,312837,0.583169443871011,0.266463114431104,0.125782187504349,0.152624708726195,0.230352573458592,0.345349945639545,0.467445660262195,0.399929757775863,1041,355,10454,312837,186,Q8TD46,Cell surface glycoprotein CD200 receptor 1,3,112640056,112693969
CD207,C-type lectin domain family 4 member K,2,71057347,71062952,0.99425460922231,0.966042199245588,0.521776770995283,0.265077517757247,10454,313436,0.294107484904974,0.324798874192241,0.283890004031565,0.386426731337801,0.609383095380658,0.623873528072764,0.207890295241124,0.0231043111785503,1537,223,10454,313436,187,Q9UJ71,C-type lectin domain family 4 member K,2,71057347,71062952
CD209,CD209 antigen,19,7804879,7812464,0.0587151272922267,0.496395255105973,0.274919714996891,0.13377854288449,10454,312571,0.0652808347590573,0.0656876527837716,0.152417549741215,0.0393775852325336,0.0655805632821239,0.272433413946835,0.0929089869054364,0.00373769382474195,1473,171,10454,312571,188,Q9NNX6,CD209 antigen,19,7804879,7812464
CD22,B-cell receptor CD22,19,35810164,35838258,0.532346414349241,0.277530208863003,0.51001401971419,0.977388153978955,10454,312284,0.67813693390346,100,100,0.0684524050376984,100,100,0.0330672632845525,7.22184439697879e-05,1314,74,10454,312284,189,P20273,B-cell receptor CD22,19,35810164,35838258
CD226,CD226 antigen,18,67498394,67629039,0.081967883879757,0.14009134316801,0.133973934345779,0.0122777901440178,10454,318326,0.656746698171262,0.608242661054259,0.37204150994775,0.410115222816149,0.32804118197528,0.213022657979869,0.0401779163212322,2.18749341940898e-06,1194,62,10454,318326,190,Q15762,CD226 antigen,18,67498394,67629039
CD244,Natural killer cell receptor 2B4,1,160799950,160832692,0.631084330387049,0.0465665224215839,0.075355376135438,0.0569793387560544,10454,312284,0.0560038892590198,0.131080277774927,0.520903472792512,0.0774571302340986,0.106565437298087,0.24344590833234,0.0796149092123722,0.0940054671876689,888,363,10454,312284,191,Q9BZW8,Natural killer cell receptor 2B4,1,160799950,160832692
CD27,CD27 antigen,12,6554033,6560884,0.851878191557048,0.0127053408800902,0.0444540485509635,0.101643334857008,10454,312549,0.0670362359128041,100,100,0.0461191168871691,100,100,0.0395690214373217,2.13055064007623e-07,957,168,10454,312549,192,P26842,CD27 antigen,12,6554033,6560884
CD274,Programmed cell death 1 ligand 1,9,5450503,5470566,0.823436082781473,0.345286756088718,0.169504591218486,0.419535274568553,10454,312918,0.776533286619941,0.240597776588016,0.0961323735781221,0.0397855351012308,0.0533908425005823,0.201257013871453,0.0788956057250146,0.000566513283019026,902,176,10454,312918,193,Q9NZQ7,Programmed cell death 1 ligand 1,9,5450503,5470566
CD276,CD276 antigen,15,73976307,74006859,0.048324872632415,0.288968229752188,0.000155887835882496,0.00117089129899767,10454,312664,0.632800707316248,0.290518131326423,0.134150921045992,0.599055912531354,0.270015976097532,0.125917855002503,0.369608574288948,0.13175137543933,785,251,10454,312664,194,Q5ZPR3,CD276 antigen,15,73976307,74006859
CD28,T-cell-specific surface glycoprotein CD28,2,204571198,204603635,0.164296259086843,0.631956318315857,0.594493548859312,0.561178284023501,10454,313474,0.434038390570964,100,100,0.279523302932528,100,100,0.0184556313958154,8.15212068496013e-05,929,47,10454,313474,195,P10747,T-cell-specific surface glycoprotein CD28,2,204571198,204603635
CD2AP,CD2-associated protein,6,47445525,47594999,0.542840490866065,0.0123803504757286,0.00848273313636216,0.2195358306874,10454,312630,0.00269811254962451,0.00748484745078838,0.37440200007373,3.32149490192308e-06,9.31951982495867e-06,0.213790643302157,0.0441601547147641,0.000170753863233883,1248,78,10454,312630,196,Q9Y5K6,CD2-associated protein,6,47445525,47594999
CD300A,CMRF35-like molecule 8,17,72462555,72480933,0.302200253670421,0.66786218515473,0.776381256809333,0.206611163306328,10454,318083,0.0341355612726366,0.0916007939206053,0.588348896281467,0.88793486886434,0.985231533117942,0.920744688048914,0.0254490996284292,0.00113221795956603,1050,262,10454,318083,197,Q9UGN4,CMRF35-like molecule 8,17,72462555,72480933
CD300C,CMRF35-like molecule 6,17,72537247,72542282,0.115157192400807,0.404116724740661,0.908083039187161,0.84929504826359,10454,312346,0.863977861240395,0.572322344254685,0.297201946438649,0.839703744770447,0.55952918557664,0.289831627433811,0.115754316706527,0.0108450539239966,956,231,10454,312346,198,Q08708,CMRF35-like molecule 6,17,72537247,72542282
CD300E,CMRF35-like molecule 2,17,72606026,72619897,0.159412165938041,0.168043209232097,0.0358385956123219,0.93249448968015,10454,312476,0.0296717972071036,0.083733841383317,0.629873770966904,0.592222839151158,0.675758868748594,0.480842742370461,0.110455777994225,0.000192271409207655,913,113,10454,312476,199,Q496F6,CMRF35-like molecule 2,17,72606026,72619897
CD300LF,CMRF35-like molecule 1,17,72690452,72709117,0.0342735480290401,0.908571591851427,0.334262532055513,0.700692729855444,10454,312360,0.875797174347021,0.868310250503011,0.611517008937152,0.574552300334113,0.824074384202696,0.788641087874152,0.499094678009037,0.182945754352929,832,471,10454,312360,200,Q8TDQ1,CMRF35-like molecule 1,17,72690452,72709117
CD300LG,CMRF35-like molecule 9,17,41924516,41940997,0.148283941904641,0.831098632998494,0.0698283702092554,0.0660605578650312,10454,312640,0.747264826802796,0.897648856155019,0.737756329133452,0.307990565660027,0.325176233261815,0.271827309677731,0.0617283948816295,0.0228799209463198,646,164,10454,312640,201,Q6UXG3,CMRF35-like molecule 9,17,41924516,41940997
CD302,CD302 antigen,2,160625364,160654753,0.335271868011601,0.996607153863742,0.871197022351403,0.374432646316043,10454,312825,0.730521598569155,0.640078613131438,0.379085955126447,0.512647194632814,0.690203097603601,0.575918905225258,0.0456656247440455,0.000619572833690819,854,39,10454,312825,202,Q8IX05,CD302 antigen,2,160625364,160654753
CD33,Myeloid cell surface antigen CD33,19,51728320,51747115,0.771398310898501,0.0234135416164804,0.763433122389552,0.0838226731567673,10454,312549,0.0474749879349006,0.060245037917065,0.193561086141942,0.000197158825489328,0.00046320104454499,0.221172251347769,0.733248350815781,0.134350948117587,1505,538,10454,312549,203,P20138,Myeloid cell surface antigen CD33,19,51728320,51747115
CD36,Platelet glycoprotein 4,7,79998891,80308593,0.870332823568959,0.699712449791615,0.977596810703312,0.572586239165969,10454,318326,0.30814210739834,0.463087192025404,0.479024528355631,0.507434198598367,0.75307200679524,0.720687541255494,0.0499890845411616,0.0101214095562847,1106,66,10454,318326,204,P16671,Platelet glycoprotein 4,7,79998891,80308593
CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,4,15779898,15854853,0.757863347982379,0.39141532273268,0.428618022447759,0.257792613554732,10454,312825,0.948575514479975,0.178148697188348,0.0634069970721156,0.62103106902766,0.548466896222546,0.327985711219838,0.108731947110116,0.00103893428720843,1193,143,10454,312825,205,P28907,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,4,15779898,15854853
CD4,T-cell surface glycoprotein CD4,12,6896024,6929974,0.146394002388534,0.0616659443691708,0.0228789873901402,0.0545373729913409,10454,312775,0.00190323686114421,100,100,0.937443107521255,100,100,0.0474357794189894,4.87954431955346e-05,802,72,10454,312775,206,P01730,T-cell surface glycoprotein CD4,12,6896024,6929974
CD40,Tumor necrosis factor receptor superfamily member 5,20,44746911,44758502,0.232344949860205,0.357172383851777,0.0915041187679175,0.187744306140413,10454,312665,0.277687397551442,0.138850387931333,0.0960301402183853,0.293437971999992,0.115802880285711,0.0732813355390674,0.0652315833993068,0.00057418781180601,854,65,10454,312665,207,P25942,Tumor necrosis factor receptor superfamily member 5,20,44746911,44758502
CD48,CD48 antigen,1,160648536,160681641,0.917623701591125,0.43395951786388,0.0725324150499755,0.270435169916977,10454,312549,0.792744175709851,0.964760798765748,0.958433841497862,0.260376609048696,0.206969005706346,0.169923508999146,0.2206417582134,0.0289594539620969,721,144,10454,312549,208,P09326,CD48 antigen,1,160648536,160681641
CD5,T-cell surface glycoprotein CD5,11,60869867,60895324,0.403573847759781,0.0120594038804889,0.0557439564527716,0.11319674867808,10454,312413,0.0142355296142365,100,100,0.675200437047576,100,100,0.0187476897532693,4.25362952764756e-05,536,63,10454,312413,209,P06127,T-cell surface glycoprotein CD5,11,60869867,60895324
CD55,Complement decay-accelerating factor,1,207494853,207534311,0.372730209489896,0.198293463741641,0.012471816226182,0.0280118671305618,10454,313858,0.012605155626184,0.0433343950205327,0.815885950498535,0.0444996214653189,0.0100504681423584,0.023076098901254,0.0791071557646673,0.000113420991925677,824,50,10454,313858,210,P08174,Complement decay-accelerating factor,1,207494853,207534311
CD59,CD59 glycoprotein,11,33719807,33757991,0.533892229966508,0.0699168545799825,0.140615280107386,0.146932857572409,10454,313918,0.245460011667502,0.452029300078779,0.624849917930672,0.0379113135584457,0.0760996311272545,0.358701998586487,0.027818227034794,2.41781484281123e-05,1041,47,10454,313918,211,P13987,CD59 glycoprotein,11,33719807,33757991
CD5L,CD5 antigen-like,1,157800704,157868046,0.718596084030022,0.688524435184676,0.797434061026849,0.791213511481195,10454,317530,0.618421902794003,0.629487111309694,0.410418722922493,0.723645458561754,0.839328723753309,0.635046711817157,0.0282995871575844,4.66384733631924e-05,1072,94,10454,317530,212,O43866,CD5 antigen-like,1,157800704,157868046
CD6,T-cell differentiation antigen CD6,11,60739115,60787849,0.727912825309241,0.527606940769777,0.224719918010329,0.350324799315997,10454,312340,0.176626965859009,0.368065371573193,0.677204415025095,0.322900296672058,0.0342130183078536,0.0162730467658977,0.322453242555856,0.0189869448670277,708,109,10454,312340,213,P30203,T-cell differentiation antigen CD6,11,60739115,60787849
CD7,T-cell antigen CD7,17,80272744,80275478,0.85594071400283,0.887825572812792,0.656431010246425,0.550907381145119,10454,318385,0.908623624654703,0.634023382046916,0.343285423123504,0.876360987524768,0.0694385371965124,0.0211983440455382,0.0877217827151915,0.0115167103052956,937,119,10454,318385,214,P09564,T-cell antigen CD7,17,80272744,80275478
CD70,CD70 antigen,19,6583194,6604114,0.933729176711817,0.424779950102037,0.0857914426675763,0.133598042163913,10454,312713,0.69826977848074,0.851112354103932,0.678214092842162,0.901721439994023,0.989408486065505,0.938017149158219,0.44288855320323,0.0165530829696199,1350,307,10454,312713,215,P32970,CD70 antigen,19,6583194,6604114
CD72,B-cell differentiation antigen CD72,9,35609530,35646807,0.245023802773543,0.286188607647141,0.142891942616601,0.323348162361618,10454,318083,0.012225367386768,0.0384578331933834,0.625084239532924,0.876278824688201,0.0350814651749853,0.00977243084056985,0.0114745027246737,2.58748955741576e-05,878,20,10454,318083,216,P21854,B-cell differentiation antigen CD72,9,35609530,35646807
CD79B,B-cell antigen receptor complex-associated protein beta chain,17,62006100,62009714,0.350424485631107,0.220364143169096,0.295625787518263,0.139644603102273,10454,312284,0.190461540003019,0.349080127731197,0.531812521484366,0.0658097711013829,0.167030380495353,0.659111268426023,0.0130862792180064,5.13874434094631e-05,535,23,10454,312284,217,P40259,B-cell antigen receptor complex-associated protein beta chain,17,62006100,62009714
CD80,T-lymphocyte activation antigen CD80,3,119243140,119278449,0.237852374658125,0.41843709704562,0.432097868013766,0.720851627758926,10454,317414,0.216436445659465,0.287230874785523,0.325399090834376,0.751306777194421,0.67092203276039,0.403534856387227,0.102546734748724,0.00136739665588964,1081,137,10454,317414,218,P33681,T-lymphocyte activation antigen CD80,3,119243140,119278449
CD83,CD83 antigen,6,14117872,14137149,0.595796573159542,0.805315612545078,0.947920572417464,0.324943447473683,10454,312713,0.509460720584457,100,100,0.999201149892701,100,100,0.0204706206723087,0.000123952794085463,932,60,10454,312713,219,Q01151,CD83 antigen,6,14117872,14137149
CD86,T-lymphocyte activation antigen CD86,3,121774213,121839983,0.665233411292957,0.167489512482267,0.225060025050114,0.0510246791227613,10454,317541,0.897505894391028,100,100,0.409508189645599,100,100,0.0206700605326742,7.83715006772506e-06,1199,158,10454,317541,220,P42081,T-lymphocyte activation antigen CD86,3,121774213,121839983
CD8A,T-cell surface glycoprotein CD8 alpha chain,2,87011729,87035519,0.714535576200673,0.852419974848321,0.00514462218302508,0.037381610259241,10454,312346,0.438886619440675,0.706468984934147,0.756948398754514,0.415811756508082,0.076454143402289,0.0342937194504389,0.0401933446615595,0.000994467625334978,491,51,10454,312346,221,P01732,T-cell surface glycoprotein CD8 alpha chain,2,87011729,87035519
CDA,Cytidine deaminase,1,20915441,20945401,0.289056080041376,0.78300990642171,0.842439330502583,0.511358924352646,10454,317478,0.239070947738986,0.494883586118782,0.885142102733301,0.123420041358969,0.120580641655139,0.17291363536358,0.10746020905307,1.63491683989637e-05,1218,265,10454,317478,222,P32320,Cytidine deaminase,1,20915441,20945401
CDCP1,CUB domain-containing protein 1,3,45123770,45187914,0.289886765316446,0.717023132716761,0.962398174547559,0.141588333598795,10454,312918,0.447547482364604,0.290436193653694,0.168546484882371,0.482559168146935,0.614957283394041,0.488725610873988,0.0583664545267086,5.83935634649421e-05,907,79,10454,312918,223,Q9H5V8,CUB domain-containing protein 1,3,45123770,45187914
CDH15,Cadherin-15,16,89238175,89261900,0.260627684029676,0.592441031459316,0.00335214193919475,0.0375777102725615,10454,312402,0.225220346929696,0.398242177832885,0.542651341889167,0.360277006913205,0.320043991725582,0.229870059654587,0.135618115781706,0.0845616089392425,1085,287,10454,312402,224,P55291,Cadherin-15,16,89238175,89261900
CDH17,Cadherin-17,8,95139399,95229531,0.906381338660973,0.589260764911943,0.233026163929825,0.280375343504502,10454,312630,0.25872167984567,0.452411951796079,0.577198200896939,0.575609471831339,0.829847178049936,0.807063762358959,0.0648977493405979,0.0035878784459547,915,189,10454,312630,225,Q12864,Cadherin-17,8,95139399,95229531
CDH5,Cadherin-5,16,66400533,66438686,0.612878766757867,0.81482072746526,0.897127025925498,0.89406406773764,10454,312214,0.750498858148169,0.35776285925158,0.16209536532384,0.042752701148628,0.0543684325083122,0.189848471945424,0.0196787790662209,0.000303676795888837,820,7,10454,312214,226,P33151,Cadherin-5,16,66400533,66438686
CDH6,Cadherin-6,5,31193857,31329253,0.57230182076318,0.602987639570651,0.607892473992115,0.399256716863356,10454,312630,0.261766183789584,0.488902264573324,0.678477049920165,0.0820123984485595,0.220317493208392,0.977255575765057,0.247569058156486,0.0129361571532026,1585,103,10454,312630,227,P55285,Cadherin-6,5,31193857,31329253
CDHR1,Cadherin-related family member 1,10,85954410,85979377,0.743769117645216,0.0705391926300738,0.94413371050794,0.475596368627218,10454,313518,0.740591264609498,0.188165386628446,0.072251657373067,0.379263423661127,0.434462101035922,0.344340369893975,0.0375940277261895,5.30832871531693e-05,1309,134,10454,313518,228,Q96JP9,Cadherin-related family member 1,10,85954410,85979377
CDHR2,Cadherin-related family member 2,5,175969512,176022975,0.0141705134933521,0.369516194180822,0.91834246475772,0.17247691994889,10454,312825,0.179989433108907,0.305946075305914,0.449845859634101,0.779552501204396,0.282530928665155,0.117555910951526,0.0103161983861933,3.78999573792449e-06,728,57,10454,312825,229,Q9BYE9,Cadherin-related family member 2,5,175969512,176022975
CDHR5,Cadherin-related family member 5,11,616565,626078,0.830635242262826,0.542001021047454,0.319879693095065,0.525533592969576,10454,312630,0.660742972600415,0.470218016955705,0.251231681465875,0.0936344389488052,0.181364673577849,0.437153859639652,0.255606563361862,0.0880893128529857,1052,432,10454,312630,230,Q9HBB8,Cadherin-related family member 5,11,616565,626078
CDKN1A,Cyclin-dependent kinase inhibitor 1,6,36644305,36655116,0.264328739983975,0.730351520049364,0.460189612827692,0.519038740295495,10454,312825,0.74341800380699,100,100,0.675028805647528,100,100,0.0116943101366405,2.29778511759825e-05,1132,135,10454,312825,231,P38936,Cyclin-dependent kinase inhibitor 1,6,36644305,36655116
CDNF,Cerebral dopamine neurotrophic factor,10,14861249,14880574,0.176216348043179,0.579178643698241,0.0736601991417785,0.283395013641955,10454,312825,0.757965007266448,0.418151481850902,0.199123741493051,0.313883429681496,0.505589122664679,0.554227072936487,0.0691514296346401,0.000955197561121851,1558,295,10454,312825,232,Q49AH0,Cerebral dopamine neurotrophic factor,10,14861249,14880574
CDON,Cell adhesion molecule-related/down-regulated by oncogenes,11,125825691,125933230,0.878637363444443,0.310154556527776,0.828976089689934,0.633277531611816,10454,312609,0.160120672757603,0.190915167408798,0.247246325790312,0.239265868546559,0.475514025749017,0.749673320532561,0.0289913743309262,0.000176371868808586,1621,150,10454,312609,233,Q4KMG0,Cell adhesion molecule-related/down-regulated by oncogenes,11,125825691,125933230
CDSN,Corneodesmosin,6,31082867,31088223,0.961994099258757,0.969708337600666,0.316600019030916,0.54288144587692,10454,312397,0.925756938055761,0.0268949047477696,0.00719910225548776,0.360270734517329,0.381829536732771,0.296778878159436,0.256272852771725,0.00263685016715915,4890,137,10454,312397,234,Q15517,Corneodesmosin,6,31082867,31088223
CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,19,43011456,43065386,0.921720753567961,0.740359292685686,0.274442580983137,0.690968275658632,10454,312600,0.775650254515539,0.94044257427229,0.838401724525832,0.0153000163613787,0.0514076575011136,0.815647153771061,0.0455241090282181,0.0164101629730865,331,174,10454,312600,235,P13688,Carcinoembryonic antigen-related cell adhesion molecule 1,19,43011456,43065386
CEACAM16,Carcinoembryonic antigen-related cell adhesion molecule 16,19,45202421,45213986,0.740205322976888,0.906027629476366,0.765604845020071,0.495527499884335,10454,317541,0.864290993157206,0.69897198686377,0.407170971088883,0.0670185435402984,0.000124455998148237,0.000130917896404487,0.10729427893131,0.000177450719074098,835,227,10454,317541,236,Q2WEN9,Carcinoembryonic antigen-related cell adhesion molecule 16,19,45202421,45213986
CEACAM19,Carcinoembryonic antigen-related cell adhesion molecule 19,19,45165545,45187631,0.0682513436899254,0.705677260534093,0.00380100683640477,0.000501949694879322,10454,317541,0.000802228809448478,100,100,1.52684270099269e-11,100,100,0.0187849487826733,4.53934783373501e-06,799,131,10454,317541,237,Q7Z692,Carcinoembryonic antigen-related cell adhesion molecule 19,19,45165545,45187631
CEACAM21,Carcinoembryonic antigen-related cell adhesion molecule 21,19,42055886,42093197,0.122793350353275,0.796464783468522,0.479495312781106,0.165919734973439,10454,312713,0.5170890462705,0.807243569617743,0.926182209176932,0.944484802482976,0.877538909406938,0.612591342398528,0.743915832462352,0.517903285597706,546,346,10454,312713,238,Q3KPI0,Carcinoembryonic antigen-related cell adhesion molecule 21,19,42055886,42093197
CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,19,42212504,42233718,0.946740746033447,0.495349023190466,0.392199066457626,0.448193312413568,10454,313916,0.256557629994518,0.519032006887428,0.875865991985384,0.16027057754499,0.358004818008533,0.773605508362434,0.065803300159081,0.0112111708692962,434,84,10454,313916,239,P06731,Carcinoembryonic antigen-related cell adhesion molecule 5,19,42212504,42233718
CELA3A,Chymotrypsin-like elastase family member 3A,1,22328149,22339032,0.842186848966128,0.749758611211112,0.780703921818993,0.451193010533688,10454,312273,0.203559412875919,0.445419076623506,0.975989456648209,0.240009260145815,0.40696340145325,0.518174104665633,0.0271645151134354,8.73150964031767e-05,1354,153,10454,312273,240,P09093,Chymotrypsin-like elastase family member 3A,1,22328149,22339032
CELSR2,Cadherin EGF LAG seven-pass G-type receptor 2,1,109792641,109818372,0.829771553504805,0.761147793249561,0.795986497036646,0.35211454148488,10454,318083,0.389045810764507,0.202861160490255,0.117640003483669,0.317416133755953,0.153152668310087,0.0970676624377055,0.102676866729303,0.00125270670919322,909,118,10454,318083,241,Q9HCU4,Cadherin EGF LAG seven-pass G-type receptor 2,1,109792641,109818372
CEMIP2,Cell surface hyaluronidase,9,74298282,74431606,0.355928254957577,0.0931323226153345,0.529842122673174,0.261040849502417,10454,318326,0.836500301864722,100,100,0.148338934524037,100,100,0.0107349549882602,9.06136027823758e-06,1222,88,10454,318326,242,Q9UHN6,Cell surface hyaluronidase,9,74298282,74431606
CEP112,Centrosomal protein of 112 kDa,17,63631656,64188202,0.400328377326083,0.732552396629234,0.701008379298632,0.921083258425874,10454,318445,0.419337661333409,0.721602180607207,0.983590193676877,0.0823262546792294,0.0834141478292024,0.162639882006457,0.0121287920395188,1.11215158498417e-05,1484,24,10454,318445,243,Q8N8E3,Centrosomal protein of 112 kDa,17,63631656,64188202
CES1,Liver carboxylesterase 1,16,55836763,55867249,0.896896738053164,0.115217020365514,0.135027369830744,0.181726387618767,10454,312559,0.158828525236739,0.294442934751301,0.497591825144681,0.0777686727266086,0.206952549632025,0.842246809183161,0.118789370181986,0.0257085974771783,1082,115,10454,312559,244,P23141,Liver carboxylesterase 1,16,55836763,55867249
CES3,Carboxylesterase 3,16,66995140,67009051,0.161396321595129,0.713268310813043,0.287319258954615,0.768526018880808,10454,312825,0.0600661018525897,100,100,0.448351672412375,100,100,0.0114153104245389,1.48456087185335e-05,170,65,10454,312825,245,Q6UWW8,Carboxylesterase 3,16,66995140,67009051
CETN3,Centrin-3,5,89688078,89705603,0.139532250050242,0.188051960789848,0.412283174394155,0.688088666653968,10454,317541,0.310264685106809,0.212648439304827,0.150553712828061,0.0503448826039635,0.0189202952386166,0.0427539440578705,0.0119145699410866,0.000250434621621313,567,15,10454,317541,246,O15182,Centrin-3,5,89688078,89705603
CFB,Complement factor B,6,31895475,31919861,0.376631159170765,0.90384821571503,0.435025809891599,0.245641536293529,10454,317921,0.528313532460056,0.725029454654987,0.620290868740891,0.639186404066302,0.765237580142541,0.574427807290281,0.138338236623684,0.0202676238752271,2221,114,10454,317921,247,P00751,Complement factor B,6,31895475,31919861
CFD,Complement factor D,19,859453,863453,0.0345300040265906,0.00453175145541696,0.993569100999379,0.0155458578730352,10454,317354,0.0107622819401689,0.0381318634854202,0.863476732888,0.00769411103218501,0.002694768959762,0.029648385949618,0.0300212492062598,6.79678922499653e-06,1380,116,10454,317354,248,P00746,Complement factor D,19,859453,863453
CFH,Complement factor H,1,196621008,196716634,0.649804377834886,0.60196418529356,0.385790154833854,0.364717477898772,10454,319211,0.322620851163816,0.564267109362101,0.683509554768521,0.037460664792945,0.113907264442114,0.90122814713278,0.072745273861028,0.000770365941589715,573,48,10454,319211,249,P08603,Complement factor H,1,196621008,196716634
CFHR2,Complement factor H-related protein 2,1,196788898,196928356,0.170307149269087,0.194875915955812,0.187020384892198,0.151842609364822,10454,317587,0.322233260967653,0.612672248820599,0.995164279370621,0.142496511967875,0.274940458389149,0.511198184325596,0.612004853405325,0.201449196493557,500,346,10454,317587,250,P36980,Complement factor H-related protein 2,1,196788898,196928356
CFHR4,Complement factor H-related protein 4,1,196819371,196888102,0.13138089875511,0.778753966301918,0.843895095518196,0.804848903696,10454,317411,0.770003043181346,0.400629466184661,0.186648395713757,0.52642818770709,0.807067649214772,0.868492376700455,0.660154903422368,0.183797315915173,463,309,10454,317411,251,Q92496,Complement factor H-related protein 4,1,196819371,196888102
CFHR5,Complement factor H-related protein 5,1,196946667,196978804,0.453810327074546,0.290992597583941,0.123895730903417,0.769319503821102,10454,317800,0.925058176765871,0.920295849779062,0.69168715052931,0.0910042730212535,0.0415607283671077,0.0611956776974279,0.140288636340779,0.0335441758654979,390,310,10454,317800,252,Q9BXR6,Complement factor H-related protein 5,1,196946667,196978804
CFI,Complement factor I,4,110661852,110723335,0.870439701374657,0.644448298066688,0.991257915861603,0.493610605603563,10454,317354,0.211015493375113,0.45717764000245,0.974826278152099,0.688580222250939,0.774018126697074,0.553156317782296,0.0328226165087931,0.0200637523809714,940,150,10454,317354,253,P05156,Complement factor I,4,110661852,110723335
CGREF1,Cell growth regulator with EF hand domain protein 1,2,27321757,27341995,0.646182204122715,0.00475892161824371,0.426179050179503,0.239658048616971,10454,312630,0.172327136490615,0.260149617614503,0.36213826251309,0.48148344842927,0.301002138710925,0.167433655195546,0.205862645037032,0.0207248467533171,428,195,10454,312630,254,Q99674,Cell growth regulator with EF hand domain protein 1,2,27321757,27341995
CHAC2,Glutathione-specific gamma-glutamylcyclotransferase 2,2,53994929,54002333,0.568877315019526,0.76027560409735,0.516989832193782,0.414084884827151,10454,313474,0.549506627998285,0.835262907839928,0.965852304373308,0.355853906692634,0.211104804291667,0.13289758982801,0.0109902820681264,8.62779473531035e-05,1264,79,10454,313474,255,Q8WUX2,Glutathione-specific gamma-glutamylcyclotransferase 2,2,53994929,54002333
CHAD,Chondroadherin,17,48541857,48546327,0.767909841821464,0.285983379482098,0.385723183606426,0.859449006683489,10454,318083,0.307212846893536,0.562243042770964,0.741209414286684,0.802705178923264,0.969265984372198,0.997649375248999,0.0126276957811879,0.00997872844532378,920,178,10454,318083,256,O15335,Chondroadherin,17,48541857,48546327
CHCHD6,MICOS complex subunit MIC25,3,126423063,126679249,0.491964327980779,0.861293095191434,0.525225670428331,0.944505106385168,10454,317550,0.683548304923337,100,100,0.334809334394043,100,100,0.0184319973532288,1.64986629528722e-06,1470,60,10454,317550,257,Q9BRQ6,MICOS complex subunit MIC25,3,126423063,126679249
CHGA,Chromogranin-A,14,93389425,93401638,0.986021530744291,0.296931318094575,0.543714155842114,0.322371422308189,10454,317421,0.564426879184308,100,100,0.988003934247485,100,100,0.0127114697483932,9.01789527445576e-05,1422,28,10454,317421,258,P10645,Chromogranin-A,14,93389425,93401638
CHGB,Secretogranin-1,20,5892076,5906007,0.287256510938498,0.0160422637437365,0.0118922908813273,0.0117137087120733,10454,312461,0.0298918719054141,0.0946391076678779,0.992239828059103,0.54845620110311,0.79514929996303,0.753805329385494,0.174620786302826,0.00325508025320344,1276,73,10454,312461,259,P05060,Secretogranin-1,20,5892076,5906007
CHI3L1,Chitinase-3-like protein 1,1,203148059,203155877,0.268424319004133,0.704624546943242,0.729251953776584,0.603259830888637,10454,313428,0.825072357094213,0.926499368819937,0.74728242148955,0.075206898947524,0.0465860192742046,0.0849606335668956,0.150576767877178,0.00503549778460457,782,203,10454,313428,260,P36222,Chitinase-3-like protein 1,1,203148059,203155877
CHIT1,Chitotriosidase-1,1,203181955,203242769,0.844971958371244,0.880418791376275,0.837010821940384,0.902338094464665,10454,312510,0.847103079328644,0.964525556556879,0.851470000286405,0.848129771622052,0.939772104856092,0.767300515613824,0.352921905872754,0.18644008532634,803,639,10454,312510,261,Q13231,Chitotriosidase-1,1,203181955,203242769
CHL1,Neural cell adhesion molecule L1-like protein,3,238279,451090,0.396330380923014,0.540254411244924,0.247663698560815,0.415251990231445,10454,312553,0.903761576180489,0.084452125664668,0.026420504500534,0.848296091471941,0.481019758061211,0.23223852421036,0.122209788950625,0.0333938848843432,910,387,10454,312553,262,O00533,Neural cell adhesion molecule L1-like protein,3,238279,451090
CHMP6,Charged multivesicular body protein 6,17,78965398,78983317,0.929388009312003,0.541943273694548,0.366105811313287,0.862353174142631,10454,317414,0.745617605047387,0.801637420080909,0.561603070498648,0.562367200698413,0.676922736178626,0.504827196338702,0.0153046872952282,0.000444132149412003,1508,20,10454,317414,263,Q96FZ7,Charged multivesicular body protein 6,17,78965398,78983317
