gene_name,chr.x,TSS.x,TES.x,pg_adsp,pg_ukb_igap,pg_ukb_eadb,pg_ukb_proxy,adsp_size.x,ukb_size.x,gene_ind.x,ensembl,gene_names,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_r2,stage1_X2_f2,num_snps_original,num_snps_common,adsp_size.y,ukb_size.y,gene_ind.y,chr.y,TSS.y,TES.y
CH17-472G23.2,1,120341870,120341871,0.780266004689982,0.81199796508332,0.588907640927752,0.61770548886745,10454,367182,6197,ENSG00000223804.5,ENSG00000223804.5,0.483197671180651,100,100,0.332307584393848,100,100,0.0480099214678233,0.000225426064213774,573,56,10454,367182,6196,1,120341870,120341871
CH25H,10,89207313,89207314,0.480015828008865,0.7683479343676,0.739708762804122,0.707808354146505,10454,367182,2564,ENSG00000138135.6,ENSG00000138135.6,0.825709453968204,0.893397837093471,0.674008408768233,0.463178369606502,0.64237033616225,0.555828967321506,0.0322736481956736,0.0016533691231566,2207,1112,10454,367182,2563,10,89207313,89207314
CHAF1A,19,4402661,4402662,0.578297590481224,0.576411771862517,0.359257524773834,0.987851607945298,10454,367182,4098,ENSG00000167670.15,ENSG00000167670.15,0.664335310012721,100,100,0.822707723222539,100,100,0.340700403824065,0.00193976831995764,2404,1204,10454,367182,4097,19,4402661,4402662
CHCHD2,7,56106575,56106576,0.771788177076295,0.39054484303084,0.445568552469187,0.694053445689431,10454,367182,1126,ENSG00000106153.12,ENSG00000106153.12,0.238774465362778,0.30736358273452,0.324268295630787,0.0235455000337355,0.0387294962215448,0.241038726833793,0.11814652957786,0.00064736068872818,2233,1183,10454,367182,1125,7,56106575,56106576
CHCHD5,2,112584239,112584240,0.140665476709393,0.376709866356384,0.637663940067482,0.316948256508595,10454,367182,1936,ENSG00000125611.15,ENSG00000125611.15,0.0770317482248051,100,100,0.761928590375532,100,100,0.0142564474074313,0.000606884041696242,1761,814,10454,367182,1935,2,112584239,112584240
CHCHD6,3,126704219,126704220,0.0667047773701931,0.270664757808385,0.979216929568855,0.81647046493539,10454,367182,3501,ENSG00000159685.10,ENSG00000159685.10,0.248789372382402,0.0894735735216074,0.0614640989174863,0.0611490921886288,0.152752169662133,0.615712207952088,0.0664297578539847,0.00302851133790991,2102,1106,10454,367182,3500,3,126704219,126704220
CHDH,3,53846389,53846390,0.85077029484543,0.0673495287853372,0.91485674758031,0.539902150042457,10454,367182,124,ENSG00000016391.10,ENSG00000016391.10,0.952182931747756,0.647495000012284,0.352162037356599,0.227355110336839,0.230562758728571,0.224223729124937,0.0267798023935408,0.00908404534091057,1988,1032,10454,367182,123,3,53846389,53846390
CHEK1,11,125625215,125625216,0.335618064473121,0.981882911073844,0.657490701361083,0.188079781949448,10454,367182,3108,ENSG00000149554.12,ENSG00000149554.12,0.76530817406446,100,100,0.0284597637466264,100,100,0.0921210052679568,0.00137784104191605,2394,1372,10454,367182,3107,11,125625215,125625216
CHERP,19,16542529,16542530,0.852841175148784,0.968885079202355,0.912593437672143,0.7769749158306,10454,367182,563,ENSG00000085872.14,ENSG00000085872.14,0.803470318199963,100,100,0.868920258646576,100,100,0.0242188863394039,0.00219839471829133,1979,872,10454,367182,562,19,16542529,16542530
CHFR,12,132909185,132909186,0.0862508585540349,0.880931761650304,0.104279508985513,0.636092334832458,10454,367182,416,ENSG00000072609.17,ENSG00000072609.17,0.836155195171753,100,100,0.83983419597315,100,100,0.0585298547639736,0.0136158206023293,2335,843,10454,367182,415,12,132909185,132909186
CHIT1,1,203273640,203273641,0.499463684953538,0.906361057051855,0.247597945386339,0.30814148046232,10454,367182,2252,ENSG00000133063.15,ENSG00000133063.15,0.309329904092596,100,100,0.541530882637634,100,100,0.0426843003552981,0.00307762180679277,1904,784,10454,367182,2251,1,203273640,203273641
CHKB,22,50601454,50601455,0.192730978439549,0.394527320475849,0.923164855820521,0.690296837207152,10454,367182,789,ENSG00000100288.19,ENSG00000100288.19,0.805748190498443,0.955075040957767,0.859222388917721,0.0995324822968936,0.145183116124261,0.2842825338132,0.184489864177917,0.0106434989809239,1713,803,10454,367182,788,22,50601454,50601455
CHL1-AS2,3,197288,197289,0.01587145886584,0.232795353306984,0.109100306130501,0.13428591284395,10454,367182,6231,ENSG00000224318.5,ENSG00000224318.5,0.645884729041299,0.871968852375863,0.801997087947834,0.988603376151639,0.997295814180284,0.942449266537876,0.110830198389891,0.00240374460621001,1738,631,10454,367182,6230,3,197288,197289
CHMP1A,16,89657800,89657801,0.989777407272608,0.825571404329471,0.780516480210477,0.686256896296755,10454,367182,2162,ENSG00000131165.14,ENSG00000131165.14,0.817494746898827,0.95973668290932,0.864918203937438,0.00300320028074571,0.0122435535098649,0.999531983413942,0.12920225000408,0.0126101828748091,2476,922,10454,367182,2161,16,89657800,89657801
CHMP4A,14,24213868,24213869,0.243393809780069,0.388526507162381,0.400608575751913,0.374196967782363,10454,367182,7582,ENSG00000254505.9,ENSG00000254505.9,0.386202942560449,100,100,0.130203445350719,100,100,0.0129960136807943,0.00390693651699127,2335,690,10454,367182,7581,14,24213868,24213869
CHP2,16,23756062,23756063,0.922278249842076,0.252753314215139,0.526327126731809,0.566427130988655,10454,367182,4034,ENSG00000166869.2,ENSG00000166869.2,0.158472784693138,100,100,0.78334931854367,100,100,0.0451825001214436,0.000100091775990293,1770,943,10454,367182,4033,16,23756062,23756063
CHPT1,12,101696946,101696947,0.654688358401071,0.944659094972024,0.980690392138128,0.821003487650404,10454,367182,1352,ENSG00000111666.10,ENSG00000111666.10,0.766337929011993,100,100,0.471890141420546,100,100,0.280308914371811,0.00237958360118802,1948,982,10454,367182,1351,12,101696946,101696947
CHRAC1,8,140511297,140511298,0.0211689275456874,0.579151086692142,0.70142376039655,0.910934390193482,10454,367182,1008,ENSG00000104472.9,ENSG00000104472.9,0.865860179980734,0.875342974410029,0.625846617451773,0.464583896834465,0.702208510148863,0.678144747555226,0.0175421493164324,0.00132591007266959,1718,687,10454,367182,1007,8,140511297,140511298
CHRFAM7A,15,30393848,30393849,0.0773921209271983,0.0177424307752254,0.677826870022631,0.00647046895497289,10454,367182,4020,ENSG00000166664.13,ENSG00000166664.13,0.00241237820551996,0.00098462877405659,0.0312200599821174,0.658052707430838,0.618999416918488,0.382265514527324,0.0658240893628617,0.00686487189074999,1123,448,10454,367182,4019,15,30393848,30393849
CHRM5,15,33968719,33968720,0.373917217625693,0.1264204339179,0.108314753771333,0.0772453501564743,10454,367182,5145,ENSG00000184984.9,ENSG00000184984.9,0.623907608290136,0.870012697950132,0.84526031601546,0.139883155227426,0.0743998115512228,0.0823775404674982,0.322870820709795,0.00845435457188542,2875,1059,10454,367182,5144,15,33968719,33968720
CHRNA5,15,78565519,78565520,0.184056005589427,0.955435794452808,0.727445557373321,0.952844486540745,10454,367182,4245,ENSG00000169684.13,ENSG00000169684.13,0.801327128620148,100,100,0.0434565853904284,100,100,0.424297344297496,0.000921881792048819,2237,958,10454,367182,4244,15,78565519,78565520
CHRNA7,15,31923437,31923438,0.86087638377265,0.999286258939499,0.60912379810156,0.394777642970302,10454,367182,4590,ENSG00000175344.17,ENSG00000175344.17,0.516809405011834,100,100,0.981696131711872,100,100,0.0842254087364085,6.87673169699801e-05,1635,644,10454,367182,4589,15,31923437,31923438
CHRNB1,17,7445060,7445061,0.363456601326491,0.140887139181571,0.202767597288737,0.618525690431754,10454,367182,4274,ENSG00000170175.10,ENSG00000170175.10,0.107658806939941,100,100,0.065711018223188,100,100,0.0963726997372387,0.00134059360185066,1859,748,10454,367182,4273,17,7445060,7445061
CHRNE,17,4903073,4903074,0.0232890164415431,0.416925100363188,0.272297175640971,0.00442178221140033,10454,367182,1225,ENSG00000108556.7,ENSG00000108556.7,0.183576218945177,0.134064099636998,0.133578215577092,0.0122355500181136,0.000141525436743764,0.000715077786978013,0.227241349787605,0.00399926275124171,2382,1017,10454,367182,1224,17,4903073,4903074
CHST1,11,45665621,45665622,0.581805671796039,0.331961503448224,0.871522297028373,0.904745325191328,10454,367182,4584,ENSG00000175264.7,ENSG00000175264.7,0.205618536552824,100,100,0.0530714612219585,100,100,0.0429132108613477,0.000780151824986435,1673,707,10454,367182,4583,11,45665621,45665622
CHST10,2,100417655,100417656,0.258618571511348,0.793550583698788,0.717435867491807,0.81664254436373,10454,367182,1534,ENSG00000115526.10,ENSG00000115526.10,0.663944508294747,100,100,0.984032365223388,100,100,0.073335353167371,0.00012151163542105,2239,969,10454,367182,1533,2,100417655,100417656
CHST11,12,104455294,104455295,0.855685838770002,0.941515566349041,0.521421282552495,0.333095460625758,10454,367182,4355,ENSG00000171310.10,ENSG00000171310.10,0.25267018916994,0.498273153865441,0.770904134776282,0.400389125870485,0.228452869328305,0.133987019572887,0.0160006366658846,0.000568684546879089,2180,1269,10454,367182,4354,12,104455294,104455295
CHST13,3,126524282,126524283,0.933960922068959,0.29226195554955,0.603871260697363,0.807125545908064,10454,367182,4886,ENSG00000180767.9,ENSG00000180767.9,0.322024443207003,100,100,0.180380591192739,100,100,0.0103930506458495,0.00126180488340629,2258,1221,10454,367182,4885,3,126524282,126524283
CHST15,10,124093606,124093607,0.00208876131267616,0.112019116001681,0.24976709165823,0.0891417166282952,10454,367182,4946,ENSG00000182022.17,ENSG00000182022.17,0.117318877282769,100,100,0.0944260064082475,100,100,0.0168771566187882,0.000956610104713124,2969,1474,10454,367182,4945,10,124093606,124093607
CHST2,3,143119330,143119331,0.647881655629053,0.125362732919308,0.140189433281504,0.989360760063436,10454,367182,4566,ENSG00000175040.5,ENSG00000175040.5,0.497134442981896,100,100,0.691706449430511,100,100,0.0184836469510104,0.00340301019236538,2047,939,10454,367182,4565,3,143119330,143119331
CHST5,16,75535246,75535247,0.504920942749485,0.983171529901508,0.843804453304927,0.93687402259256,10454,367182,2389,ENSG00000135702.14,ENSG00000135702.14,0.967671557066072,100,100,0.369165579201404,100,100,0.0159376317844355,0.00654751741510898,2145,747,10454,367182,2388,16,75535246,75535247
CHST9,18,27185316,27185317,0.561333365748052,0.241971636377442,0.12769107177237,0.0814518460559792,10454,367182,3297,ENSG00000154080.13,ENSG00000154080.13,0.686207352456776,100,100,0.513902880896289,100,100,0.0501070209504679,0.00308828581244696,2001,1099,10454,367182,3296,18,27185316,27185317
CHURC1,14,64914360,64914361,0.99149943315936,0.296356415319601,0.59014816854661,0.14788309667424,10454,367182,7763,ENSG00000258289.8,ENSG00000258289.8,0.57527709729364,0.208842445746407,0.0931951685141822,0.0526904119450209,0.111179891576828,0.423890143038553,0.341753385401579,0.0410363434074851,2130,976,10454,367182,7762,14,64914360,64914361
CIAO1,2,96266131,96266132,0.0194841955574521,0.988883392999499,0.976275596014497,0.245725356034893,10454,367182,2865,ENSG00000144021.2,ENSG00000144021.2,0.679011743641875,100,100,0.0638666539561675,100,100,0.0383161962097514,0.00338645155273419,609,138,10454,367182,2864,2,96266131,96266132
CIART,1,150282542,150282543,0.267551971970031,0.663126222667891,0.173715747707894,0.126352958690896,10454,367182,3479,ENSG00000159208.15,ENSG00000159208.15,0.0914914508970872,0.105195259383067,0.198144628952291,0.928916190045819,0.447278790909316,0.205735212367258,0.0166582722344081,0.0659800896544156,1459,675,10454,367182,3478,1,150282542,150282543
CIB1,15,90233702,90233703,0.0682528958453585,0.30239256040146,0.926070902681216,0.623994005838695,10454,367182,5155,ENSG00000185043.10,ENSG00000185043.10,0.175930632251244,100,100,0.152936349148354,100,100,0.18723760592718,0.00136752541653642,2254,872,10454,367182,5154,15,90233702,90233703
CIB2,15,78131496,78131497,0.450466858972597,0.0690969792806407,0.453832060962627,0.173530244078924,10454,367182,2444,ENSG00000136425.12,ENSG00000136425.12,0.397909068437297,0.168981606291973,0.0918759704612436,0.034818148269113,0.0834096963880426,0.473448669113088,0.192337957415541,0.00324803450061682,2404,1049,10454,367182,2443,15,78131496,78131497
CICP14,7,128658790,128658791,0.833214542585419,0.498635540174523,0.536169913137406,0.775196642629549,10454,367182,9123,ENSG00000281490.1,ENSG00000281490.1,0.777529807035171,100,100,0.832095181579329,100,100,0.0946163078057873,0.000173180081317965,2199,1167,10454,367182,9122,7,128658790,128658791
CIDEC,3,9880253,9880254,0.25473589241138,0.830483047759147,0.622138592511202,0.272148883517744,10454,367182,5295,ENSG00000187288.10,ENSG00000187288.10,0.438850896203794,100,100,0.0257995481844125,100,100,0.0212855980921337,0.00307722878123248,1929,853,10454,367182,5294,3,9880253,9880254
CIDECP,3,10026364,10026365,0.785484088546067,0.240423393845473,0.445598610389592,0.931646677224091,10454,367182,5233,ENSG00000186162.10,ENSG00000186162.10,0.155137664171289,0.299020361035853,0.530427696798011,0.0650372081629759,0.159114800316212,0.601840092273102,0.0203886271820447,0.000305697626318723,2120,892,10454,367182,5232,3,10026364,10026365
CILP2,19,19538247,19538248,0.127430208201218,0.252286135511325,0.806525889127489,0.280113077844506,10454,367182,3514,ENSG00000160161.9,ENSG00000160161.9,0.549041657780468,100,100,0.399294985802849,100,100,0.0945694622986203,2.18781694058674e-05,1612,883,10454,367182,3513,19,19538247,19538248
CISTR,12,53757033,53757034,0.105678559223397,0.150375790294879,0.971861656256525,0.240852597887001,10454,367182,7930,ENSG00000260492.2,ENSG00000260492.2,0.613931430231755,100,100,0.233778238494405,100,100,0.0516732740502361,0.00526676543886567,1568,754,10454,367182,7929,12,53757033,53757034
CIZ1,9,128204382,128204383,0.315134512108078,0.813055960141323,0.233851101857218,0.127464116054277,10454,367182,3054,ENSG00000148337.20,ENSG00000148337.20,0.770571912573133,100,100,0.0769075096252884,100,100,0.0164579996083025,6.90364823066373e-05,1269,416,10454,367182,3053,9,128204382,128204383
CKAP2,13,52455428,52455429,0.380135591133595,0.740295417582708,0.335044774369854,0.121765819306726,10454,367182,2420,ENSG00000136108.14,ENSG00000136108.14,0.077616337597353,100,100,0.0367934295409506,100,100,0.199439909560048,0.000867703319223169,1769,877,10454,367182,2419,13,52455428,52455429
CKMT1A,15,43692885,43692886,0.600805350867932,0.459280422895797,0.418188230554618,0.390387877119638,10454,367182,6185,ENSG00000223572.9,ENSG00000223572.9,0.369485087476839,100,100,0.119286440892691,100,100,0.0261509991576406,1.19015322110671e-05,1033,174,10454,367182,6184,15,43692885,43692886
CKMT2-AS1,5,81301559,81301560,0.317787102657759,0.237306672631134,0.752556648206728,0.908072643959897,10454,367182,7305,ENSG00000247572.7,ENSG00000247572.7,0.889549392704145,0.883041265596938,0.631916697460417,0.0592194053649014,0.156974725838592,0.704108162067414,0.515144090027221,0.0604075711484159,1954,1028,10454,367182,7304,5,81301559,81301560
CLASRP,19,45039039,45039040,0.264966957769382,0.78241772647215,0.661505085930063,0.657314948868884,10454,367182,1028,ENSG00000104859.14,ENSG00000104859.14,0.840869847998061,0.556449929973531,0.28735106467798,9.68148654440019e-06,4.42069287238376e-06,0.0241310395436109,0.0173701536944904,0.000276226932573385,2065,961,10454,367182,1027,19,45039039,45039040
CLCA2,1,86424085,86424086,0.355054418524708,0.342438720574786,0.679748886454541,0.57644953969197,10454,367182,2551,ENSG00000137975.7,ENSG00000137975.7,0.865571728847034,0.56794674343432,0.293664231907709,0.564713168084554,0.123792420120611,0.0498444298424804,0.0695718925119444,0.000337599218609107,2364,1310,10454,367182,2550,1,86424085,86424086
CLCN2,3,184361650,184361651,0.101664417205788,0.511009331231615,0.886722412914641,0.825000265906064,10454,367182,1491,ENSG00000114859.15,ENSG00000114859.15,0.634392480007091,100,100,0.180857570851457,100,100,0.0642162013472757,0.00564798329819563,2210,1099,10454,367182,1490,3,184361650,184361651
CLCN7,16,1475579,1475580,0.572197112919683,0.383095637321674,0.448790161601668,0.806428033792919,10454,367182,943,ENSG00000103249.17,ENSG00000103249.17,0.788904625605466,100,100,0.54001551896371,100,100,0.0235897138882537,0.0472265965422612,3040,1421,10454,367182,942,16,1475579,1475580
CLCNKA,1,16018874,16018875,0.714739397283309,0.207599244322659,0.468037204450982,0.782170349061235,10454,367182,5261,ENSG00000186510.11,ENSG00000186510.11,0.563644375351441,0.567855361797208,0.371595688592315,0.44212101154692,0.194909340037318,0.101636957381694,0.0596642459803284,0.000720861194947887,2324,1103,10454,367182,5260,1,16018874,16018875
CLDN1,3,190322474,190322475,0.612247105757026,0.860257849329907,0.956233123954352,0.554091745018184,10454,367182,3705,ENSG00000163347.5,ENSG00000163347.5,0.321939153161431,100,100,0.188284749950011,100,100,0.0459306685250042,0.00991333490865441,2848,1474,10454,367182,3704,3,190322474,190322475
CLDN11,3,170418864,170418865,0.654962582983738,0.505920001885217,0.930319013222137,0.464793648598461,10454,367182,108,ENSG00000013297.10,ENSG00000013297.10,0.607826761996834,0.271242026867962,0.125602021533765,0.0319715137132748,0.0651704254801867,0.353324747926388,0.0346188976767747,0.00313142666629049,1754,873,10454,367182,107,3,170418864,170418865
CLDN15,7,101238819,101238820,0.715273800234633,0.0181677686300847,0.11492217042353,0.197039347485039,10454,367182,1138,ENSG00000106404.13,ENSG00000106404.13,0.683364395485715,0.432275656707472,0.218993254111322,0.738646044304431,0.913456846115226,0.791747653748957,0.265738391924653,6.27003408585523e-07,2616,1185,10454,367182,1137,7,101238819,101238820
CLDN4,7,73799541,73799542,0.39788108908919,0.358418837051144,0.886793995805015,0.206363958095292,10454,367182,5400,ENSG00000189143.9,ENSG00000189143.9,0.228670317206887,100,100,0.0389084490372436,100,100,0.105705965913492,0.000207165539376332,1300,553,10454,367182,5399,7,73799541,73799542
CLDN7,17,7263982,7263983,0.53224311640305,0.988373966475641,0.781080876881231,0.778065081112368,10454,367182,4939,ENSG00000181885.18,ENSG00000181885.18,0.929742411646145,100,100,0.0359000625707497,100,100,0.0316830299354194,0.00995553879797604,2071,933,10454,367182,4938,17,7263982,7263983
CLDN9,16,3012455,3012456,0.206132269019971,0.0499125581514857,0.0962726507801083,0.100715404330463,10454,367182,6007,ENSG00000213937.3,ENSG00000213937.3,0.1020979899685,100,100,0.366603807343864,100,100,0.214764992862736,0.00199639496729491,1945,946,10454,367182,6006,16,3012455,3012456
CLDND1,3,98523065,98523066,0.935142679508653,0.576899229242945,0.930139494697212,0.22030147471483,10454,367182,510,ENSG00000080822.16,ENSG00000080822.16,0.732092065267441,100,100,0.769933891737576,100,100,0.0168929313555264,0.00214613988052867,3202,1369,10454,367182,509,3,98523065,98523066
CLEC18A,16,69950704,69950705,0.953828984733527,0.33249816785139,0.832937523044845,0.589435889767038,10454,367182,3405,ENSG00000157322.17,ENSG00000157322.17,0.957102845088186,0.577844673684878,0.295596602459037,0.143455351892572,0.227245155772749,0.364317344170898,0.466733703923494,0.00481163456376666,1392,690,10454,367182,3404,16,69950704,69950705
CLEC1A,12,10111626,10111627,0.173285844303689,0.0182932541957665,0.281702619620709,0.415789806469761,10454,367182,3129,ENSG00000150048.10,ENSG00000150048.10,0.830808852934085,0.841714011722847,0.584531750468962,0.131625354235114,0.129004470506638,0.177005595095064,0.0236799370763924,0.00820337170938826,2904,1253,10454,367182,3128,12,10111626,10111627
CLEC2B,12,9870135,9870136,0.185642915276466,0.672676076273723,0.549470362091132,0.647285453308842,10454,367182,1319,ENSG00000110852.4,ENSG00000110852.4,0.565911015758945,100,100,0.321429907741024,100,100,0.030120042957541,0.0193148195148853,2655,1128,10454,367182,1318,12,9870135,9870136
CLEC2D,12,9664968,9664969,0.211509284076842,0.292392398698079,0.467771645408645,0.669027433144643,10454,367182,376,ENSG00000069493.14,ENSG00000069493.14,0.385287309338123,0.643196598122248,0.719600148834536,0.0671395632340975,0.130299736956042,0.394758175254271,0.0482856579010297,0.00174691750343552,2652,1300,10454,367182,375,12,9664968,9664969
CLEC4GP1,19,7787548,7787549,0.0765284987302145,0.0756192065485324,0.127891650119485,0.0801605583042812,10454,367182,8284,ENSG00000268297.1,ENSG00000268297.1,0.600458887027422,0.675129890512342,0.474540059320184,0.026467803098231,0.0849578800869181,0.938205149557367,0.206709973591672,0.0158151381452257,3042,1474,10454,367182,8283,19,7787548,7787549
CLEC7A,12,10130257,10130258,0.380024512166198,0.67897628857755,0.747545548757066,0.606460385822612,10454,367182,4421,ENSG00000172243.17,ENSG00000172243.17,0.868237160018749,0.825339363157639,0.550521723780961,0.0250738553109458,0.0302160178531309,0.159391234917455,0.0607745111337195,0.00105478834491649,2911,1255,10454,367182,4420,12,10130257,10130258
CLECL1,12,9733298,9733299,0.117174738876069,0.90814448230172,0.689786346242614,0.185364476105898,10454,367182,5100,ENSG00000184293.7,ENSG00000184293.7,0.0547787782216496,100,100,0.697436595073008,100,100,0.186799695973219,0.00784314400075072,2689,1245,10454,367182,5099,12,9733298,9733299
CLGN,4,140427967,140427968,0.423577300582762,0.699431911528398,0.766464176465868,0.772835586421542,10454,367182,3261,ENSG00000153132.12,ENSG00000153132.12,0.688814162570404,0.91113323641385,0.872471599774274,0.00083556319123661,0.00307169270346699,0.521693703970274,0.0101500492948664,0.0125587445069182,1750,794,10454,367182,3260,4,140427967,140427968
CLHC1,2,55232353,55232354,0.675974002870629,0.191637415596,0.197894264238087,0.239723674518134,10454,367182,3677,ENSG00000162994.15,ENSG00000162994.15,0.84517513491817,0.961829583343437,0.842063738728669,0.00905372966006169,0.00346306996173512,0.033520308896158,0.248221733234118,0.0108797207462674,2229,1059,10454,367182,3676,2,55232353,55232354
CLIC3,9,136996802,136996803,0.0302359614417708,0.489222924643787,0.46682007826209,0.736293981298118,10454,367182,4237,ENSG00000169583.12,ENSG00000169583.12,0.497430468624332,100,100,0.773609962927175,100,100,0.0186734767086516,0.00586650558117246,1844,387,10454,367182,4236,9,136996802,136996803
CLIC4,1,24745356,24745357,0.772078223420843,0.555145676185634,0.263182792488226,0.914863725858693,10454,367182,4233,ENSG00000169504.14,ENSG00000169504.14,0.547645202938122,0.796641877258496,0.760197310401361,0.908929184861965,0.26798001053942,0.105484726613386,0.0438051205589854,0.000161722880978605,1944,894,10454,367182,4232,1,24745356,24745357
CLIC6,21,34669388,34669389,0.471823310607072,0.575431507428395,0.450816824889209,0.43437032947467,10454,367182,3480,ENSG00000159212.12,ENSG00000159212.12,0.602463952627901,100,100,0.0129748816350919,100,100,0.0221963196026111,0.00263483742229165,1894,1012,10454,367182,3479,21,34669388,34669389
CLIP4,2,29097704,29097705,0.58877017191757,0.629727307269591,0.871740572784032,0.736264061584036,10454,367182,1517,ENSG00000115295.19,ENSG00000115295.19,0.888355397191761,0.990193368824683,0.998637977313811,0.273576528823099,0.510614705145708,0.702819158716735,0.014907908190407,2.84021138150921e-05,2526,1237,10454,367182,1516,2,29097704,29097705
CLK3P2,1,247937512,247937513,0.759487405300365,0.604176433708616,0.482436981348117,0.209973629773386,10454,367182,6351,ENSG00000226191.3,ENSG00000226191.3,0.703485979098563,100,100,0.342477499106231,100,100,0.267999219353053,0.00066602577830237,3202,1286,10454,367182,6350,1,247937512,247937513
CLN6,15,68257130,68257131,0.376814217840512,0.292735100197489,0.205914757198974,0.0987214582193637,10454,367182,2073,ENSG00000128973.12,ENSG00000128973.12,0.46139146892294,0.0157849428336471,0.00535778185675545,0.00551472281816781,0.0212232819044334,0.956933673002214,0.0264948301212749,0.00300149502239091,1899,832,10454,367182,2072,15,68257130,68257131
CLNS1A,11,77637804,77637805,0.94421105947594,0.951120230647002,0.870728872100175,0.87153192801279,10454,367182,427,ENSG00000074201.8,ENSG00000074201.8,0.94055443084177,0.30981376458707,0.126260056569397,0.0537168916047037,0.132731455762367,0.573183989013514,0.0267262483830379,0.0102224354812802,1986,904,10454,367182,426,11,77637804,77637805
CLP1,11,57657015,57657016,0.171746051128351,0.470054185994106,0.345486646931163,0.261449728036079,10454,367182,4432,ENSG00000172409.5,ENSG00000172409.5,0.121264142838859,100,100,0.627051347466088,100,100,0.0161042857634172,0.00931479879935915,1636,820,10454,367182,4431,11,57657015,57657016
CLPSL1,6,35781016,35781017,0.0797077475629388,0.879433522077678,0.828204131130052,0.955994047431135,10454,367182,5764,ENSG00000204140.9,ENSG00000204140.9,0.570543258673272,0.614992654524097,0.419934040949249,0.562563396599983,0.0167226073617844,0.00509137833333997,0.0330560616466352,0.00172078818155506,1449,714,10454,367182,5763,6,35781016,35781017
CLPSL2,6,35776593,35776594,0.827344036654978,0.86919110642934,0.885674200797482,0.853925386811971,10454,367182,5498,ENSG00000196748.9,ENSG00000196748.9,0.844910616450359,0.273604928723639,0.110032523279012,0.226448029228576,0.396350537756277,0.533415768125433,0.0322027515171042,0.0346502862263945,1451,713,10454,367182,5497,6,35776593,35776594
CLSTN1,1,9824525,9824526,0.488405217312669,0.55955688299573,0.401446178418542,0.563930947358694,10454,367182,4375,ENSG00000171603.16,ENSG00000171603.16,0.191659795599716,0.400214124267729,0.721800566629566,0.487001608490174,0.449751635932775,0.291003136937397,0.0147180815940299,0.0641687074104372,1302,483,10454,367182,4374,1,9824525,9824526
CLSTN2,3,139935184,139935185,0.544332773435921,0.853123406224633,0.626970893587735,0.0448313890163157,10454,367182,3445,ENSG00000158258.16,ENSG00000158258.16,0.0869041341384918,100,100,0.000776638842185207,100,100,0.0102499021202714,0.0026033027883529,2135,813,10454,367182,3444,3,139935184,139935185
CLSTN3,12,7130252,7130253,0.487985089484744,0.449942990363037,0.907478388513449,0.949827744766919,10454,367182,2622,ENSG00000139182.13,ENSG00000139182.13,0.363804990855745,100,100,0.00598781406098661,100,100,0.0154293724492322,0.00171202869376836,1941,686,10454,367182,2621,12,7130252,7130253
CLTB,5,176416568,176416569,0.296320790456061,0.930007070932104,0.829444828759168,0.807843101627387,10454,367182,4593,ENSG00000175416.12,ENSG00000175416.12,0.771244918901778,0.85500269809537,0.632444304400823,0.0439330228622842,0.107007816608651,0.521676433732455,0.0289657991633366,0.00205071204577988,1384,645,10454,367182,4592,5,176416568,176416569
CLUAP1,16,3500923,3500924,0.437757071294601,0.565930241692715,0.873052701018577,0.387563459998709,10454,367182,953,ENSG00000103351.12,ENSG00000103351.12,0.743387367526091,0.570315957785003,0.313490105507657,0.486282512001819,0.417092269006719,0.260866397301897,0.40077920218885,0.0919711481620738,1919,903,10454,367182,952,16,3500923,3500924
CLUL1,18,596987,596988,0.862196845684135,0.726049751503838,0.846610257247767,0.81451594817537,10454,367182,488,ENSG00000079101.16,ENSG00000079101.16,0.835346076665524,100,100,0.00157159022657864,100,100,0.249179678076764,0.00069694965801422,2999,1538,10454,367182,487,18,596987,596988
CLVS1,8,61057157,61057158,0.978266072403634,0.999938548345347,0.717596371166069,0.906246258724314,10454,367182,4695,ENSG00000177182.10,ENSG00000177182.10,0.730055630539771,0.937875855883099,0.923503727662489,0.858830672155313,0.946080252586423,0.778356564537055,0.0148859840650253,0.0011674309143138,1885,643,10454,367182,4694,8,61057157,61057158
CMAHP,6,25166554,25166555,0.0293501848316848,0.862887375652358,0.807879802413007,0.81107936431525,10454,367182,4165,ENSG00000168405.15,ENSG00000168405.15,0.958591126701624,100,100,0.611055656962773,100,100,0.167069311631094,0.00012310728464423,2690,1486,10454,367182,4164,6,25166554,25166555
CMB9-55F22.1,11,779616,779617,0.735242164569015,0.390536749629657,0.964516554846655,0.315758002301321,10454,367182,9033,ENSG00000279672.1,ENSG00000279672.1,0.394899028733221,100,100,0.670542462902733,100,100,0.490195156292059,0.00821816008484175,2661,1013,10454,367182,9032,11,779616,779617
CMKLR1,12,108339340,108339341,0.988731786529761,0.321495860082409,0.253605410850288,0.566386601948762,10454,367182,4544,ENSG00000174600.13,ENSG00000174600.13,0.0503588480543514,0.00546528998593766,0.0102606530543173,0.493362024266985,0.712129113336959,0.646918917847677,0.0245527817687007,0.0515962345620896,2171,981,10454,367182,4543,12,108339340,108339341
